semana_gestacional,tipo_parto,paridad,p90_chico,p97_chico,p90_chica,p97_chica,p90_promedio,p97_promedio
31,cesarea,multipara,1999.69,2195.87,1893.23,2080.95,1946.46,2138.41
32,cesarea,multipara,2255.46,2472.18,2127.7,2335.04,2191.58,2403.6099999999997
33,cesarea,multipara,2527.79,2763.77,2388.89,2615.84,2458.34,2689.8050000000003
34,cesarea,multipara,2808.58,3061.48,2668.25,2913.13,2738.415,2987.3050000000003
35,cesarea,multipara,3088.61,3355.09,2951.92,3211.06,3020.2650000000003,3283.075
36,cesarea,multipara,3358.02,3634,3222.95,3490.98,3290.4849999999997,3562.49
37,cesarea,multipara,3606.84,3887.86,3464.24,3735,3535.54,3811.4300000000003
38,cesarea,multipara,3825.38,4107.05,3661.98,3929.88,3743.6800000000003,4018.465
39,cesarea,multipara,4004.52,4282.99,3809.27,4070.75,3906.895,4176.87
40,cesarea,multipara,4135.82,4408.21,3910.19,4164.87,4023.005,4286.54
41,cesarea,multipara,4211.53,4476.29,3984.5,4235.97,4098.014999999999,4356.13
42,cesarea,multipara,4224.42,4481.47,4073.86,4330.33,4149.14,4405.9
